date,low,high,condition
1/1/2019,30.8,44.1,Partially cloudy
1/2/2019,36,47,"Rain, Overcast"
1/3/2019,46.1,56,"Rain, Overcast"
1/4/2019,39.8,51.2,Partially cloudy
1/5/2019,41,50,"Rain, Overcast"
1/6/2019,37.1,47,"Rain, Overcast"
1/7/2019,37.1,45,Partially cloudy
1/8/2019,42.2,47,"Rain, Overcast"
1/9/2019,45,52.1,"Rain, Overcast"
1/10/2019,41,53.1,Partially cloudy
1/11/2019,33.2,55.1,Clear
1/12/2019,33.2,56,Clear
1/13/2019,30.8,53.1,Clear
1/14/2019,29,51.2,Clear
1/15/2019,29,47.9,Partially cloudy
1/16/2019,35.1,52.1,"Rain, Overcast"
1/17/2019,47,55.1,"Rain, Overcast"
1/18/2019,45,53.1,"Rain, Partially cloudy"
1/19/2019,38.9,51.2,"Rain, Partially cloudy"
1/20/2019,35.1,47,Partially cloudy
1/21/2019,38.9,47,Partially cloudy
1/22/2019,44.1,52.1,"Rain, Overcast"
1/23/2019,44.1,50,"Rain, Overcast"
1/24/2019,42.2,47.9,Overcast
1/25/2019,35.1,50,Partially cloudy
1/26/2019,35.1,52.1,Partially cloudy
1/27/2019,38,44.1,Overcast
1/28/2019,33.2,50,Clear
1/29/2019,32,53.1,Clear
1/30/2019,34.1,50,Partially cloudy
1/31/2019,41,54,"Rain, Overcast"
2/1/2019,44.1,51.2,"Rain, Partially cloudy"
2/2/2019,39.8,47.9,"Rain, Overcast"
2/3/2019,26.1,42.2,"Rain, Overcast"
2/4/2019,16.1,29,Partially cloudy
2/5/2019,19.1,34.1,Clear
2/6/2019,20.9,36,Clear
2/7/2019,24.2,38.9,Partially cloudy
2/8/2019,29.9,36,"Rain, Overcast"
2/9/2019,15.2,34.1,"Rain, Partially cloudy"
2/10/2019,20,36,"Rain, Overcast"
2/11/2019,32,34.1,"Rain, Overcast"
2/12/2019,34.1,39.8,"Rain, Overcast"
2/13/2019,29.9,39.8,Partially cloudy
2/14/2019,36,43.1,"Rain, Overcast"
2/15/2019,34.1,46.1,"Rain, Overcast"
2/16/2019,33.2,44.1,"Rain, Overcast"
2/17/2019,33.2,44.1,"Rain, Overcast"
2/18/2019,37.1,44.1,"Rain, Overcast"
2/19/2019,38,44.1,"Rain, Overcast"
2/20/2019,30.8,43.1,"Rain, Partially cloudy"
2/21/2019,35.1,47,Partially cloudy
2/22/2019,37.1,42.2,"Rain, Overcast"
2/23/2019,37.1,46.1,"Rain, Overcast"
2/24/2019,30.8,43.1,Partially cloudy
2/25/2019,28.1,44.1,Partially cloudy
2/26/2019,33.2,44.1,Partially cloudy
2/27/2019,29,43.1,Partially cloudy
2/28/2019,34.1,47.9,Partially cloudy
3/1/2019,35.1,48.8,Partially cloudy
3/2/2019,28.1,50,Clear
3/3/2019,25.1,47.9,Clear
3/4/2019,27,45,Clear
3/5/2019,36,47.9,Clear
3/6/2019,32,42.2,"Rain, Overcast"
3/7/2019,34.1,45,"Rain, Partially cloudy"
3/8/2019,29,41,"Rain, Partially cloudy"
3/9/2019,29,47,Clear
3/10/2019,30.8,52.1,Clear
3/11/2019,36,51.2,"Rain, Overcast"
3/12/2019,35.1,46.1,"Rain, Partially cloudy"
3/13/2019,38.9,52.1,Partially cloudy
3/14/2019,41,55.1,Partially cloudy
3/15/2019,42.2,59,Partially cloudy
3/16/2019,43.1,60.2,Partially cloudy
3/17/2019,42.2,62.1,Clear
3/18/2019,44.1,73.1,Clear
3/19/2019,52.1,79.1,Clear
3/20/2019,46.1,79.1,Clear
3/21/2019,47.9,60.2,Partially cloudy
3/22/2019,42.9,65.9,"Rain, Partially cloudy"
3/23/2019,47,59,Partially cloudy
3/24/2019,45,56,Partially cloudy
3/25/2019,45,57.8,"Rain, Partially cloudy"
3/26/2019,43.1,57.8,Clear
3/27/2019,45,60.2,Partially cloudy
3/28/2019,44.1,64.1,Partially cloudy
3/29/2019,42.2,63,Partially cloudy
3/30/2019,43.1,64.1,Clear
3/31/2019,47,65.9,Clear
4/1/2019,51.2,66.8,Partially cloudy
4/2/2019,53.1,66.8,Overcast
4/3/2019,44.1,59,"Rain, Partially cloudy"
4/4/2019,50,64.1,"Rain, Partially cloudy"
4/5/2019,44.1,56.9,"Rain, Partially cloudy"
4/6/2019,45,56.9,"Rain, Overcast"
4/7/2019,47,56,"Rain, Partially cloudy"
4/8/2019,47,61.1,"Rain, Overcast"
4/9/2019,47,57.8,Overcast
4/10/2019,46.1,54,"Rain, Overcast"
4/11/2019,47.9,55.1,"Rain, Overcast"
4/12/2019,47,59,"Rain, Overcast"
4/13/2019,44.1,52.1,"Rain, Overcast"
4/14/2019,43.1,51.2,"Rain, Overcast"
4/15/2019,46.1,56,"Rain, Partially cloudy"
4/16/2019,48.8,56.9,"Rain, Overcast"
4/17/2019,52.1,62.1,"Rain, Overcast"
4/18/2019,53.7,63,"Rain, Overcast"
4/19/2019,45,56,"Rain, Partially cloudy"
4/20/2019,45,60.2,Partially cloudy
4/21/2019,45,60.2,Partially cloudy
4/22/2019,50,57.8,"Rain, Overcast"
4/23/2019,47.9,62.1,Overcast
4/24/2019,43.1,60.2,Clear
4/25/2019,46.1,59,Clear
4/26/2019,47,62.1,Partially cloudy
4/27/2019,36,54,Partially cloudy
4/28/2019,47,60.2,Clear
4/29/2019,42.2,64.1,Clear
4/30/2019,43.1,66.8,Clear
5/1/2019,47.9,64.1,Partially cloudy
5/2/2019,47.9,57.8,Overcast
5/3/2019,47.9,62.1,Partially cloudy
5/4/2019,48.8,66.8,Partially cloudy
5/5/2019,48.8,68,Clear
5/6/2019,53.1,74,Clear
5/7/2019,50,72,Clear
5/8/2019,56,73.1,Partially cloudy
5/9/2019,54,81,Clear
5/10/2019,56,83,Clear
5/11/2019,53.1,82.1,Partially cloudy
5/12/2019,48.8,65.9,Partially cloudy
5/13/2019,53.1,66.8,Partially cloudy
5/14/2019,53.1,61.1,"Rain, Partially cloudy"
5/15/2019,54,66.8,"Rain, Partially cloudy"
5/16/2019,53.1,63,"Rain, Overcast"
5/17/2019,53.1,64.1,Partially cloudy
5/18/2019,55.1,70.1,Partially cloudy
5/19/2019,56,70.1,Partially cloudy
5/20/2019,52.1,57.8,Overcast
5/21/2019,52.1,62.1,Partially cloudy
5/22/2019,54,73.1,Partially cloudy
5/23/2019,55.1,77,Partially cloudy
5/24/2019,53.1,61.1,Overcast
5/25/2019,53.1,56,"Rain, Overcast"
5/26/2019,55.1,70.1,Partially cloudy
5/27/2019,56,78.2,Partially cloudy
5/28/2019,54,65.9,Partially cloudy
5/29/2019,55.1,71.1,Partially cloudy
5/30/2019,56,74.9,Partially cloudy
5/31/2019,54,74.9,Partially cloudy
6/1/2019,55.1,74,Partially cloudy
6/2/2019,54,74,Partially cloudy
6/3/2019,51.9,69.2,Partially cloudy
6/4/2019,55.1,71.1,Partially cloudy
6/5/2019,51.2,66.8,Partially cloudy
6/6/2019,51.2,65,Overcast
6/7/2019,52.1,60.2,Overcast
6/8/2019,52.1,69.2,Partially cloudy
6/9/2019,56,72,Clear
6/10/2019,60.2,77,Clear
6/11/2019,65.9,82.1,Clear
6/12/2019,62.1,92.9,Clear
6/13/2019,56.9,80.1,Partially cloudy
6/14/2019,54,70.1,Partially cloudy
6/15/2019,56,74,Partially cloudy
6/16/2019,56.9,75.8,Partially cloudy
6/17/2019,57.8,75.8,Overcast
6/18/2019,55.1,65,Overcast
6/19/2019,51.2,69.2,Overcast
6/20/2019,56,68,Overcast
6/21/2019,56,71.1,Overcast
6/22/2019,54,65.9,Overcast
6/23/2019,53.1,63,Overcast
6/24/2019,53.1,69.2,Partially cloudy
6/25/2019,54,74,Partially cloudy
6/26/2019,56.9,70.1,Partially cloudy
6/27/2019,56,71.1,Partially cloudy
6/28/2019,56.9,72,Partially cloudy
6/29/2019,56.9,75.8,Clear
6/30/2019,59,79.1,Clear
7/1/2019,60.2,82.1,Partially cloudy
7/2/2019,57.8,61.1,"Rain, Overcast"
7/3/2019,56.9,69.4,Partially cloudy
7/4/2019,59,74,Partially cloudy
7/5/2019,59,69.2,Overcast
7/6/2019,59,73.1,Overcast
7/7/2019,57.8,68,"Rain, Overcast"
7/8/2019,59,74.9,"Rain, Partially cloudy"
7/9/2019,63,75.8,"Rain, Partially cloudy"
7/10/2019,62.1,71.1,"Rain, Partially cloudy"
7/11/2019,62.1,75.8,Partially cloudy
7/12/2019,64.1,79.1,Partially cloudy
7/13/2019,61.1,79.1,Partially cloudy
7/14/2019,65,79.1,Partially cloudy
7/15/2019,63,71.1,"Rain, Partially cloudy"
7/16/2019,63,80.1,Partially cloudy
7/17/2019,57.5,72,"Rain, Overcast"
7/18/2019,56.9,74,"Rain, Overcast"
7/19/2019,55.1,71.1,Clear
7/20/2019,57.8,78.2,Clear
7/21/2019,60.2,88.1,Clear
7/22/2019,63,83,Clear
7/23/2019,60.2,71.1,Overcast
7/24/2019,59,77,Partially cloudy
7/25/2019,62.1,82.1,Clear
7/26/2019,65,87.2,Partially cloudy
7/27/2019,60.2,73.1,Partially cloudy
7/28/2019,60.2,78.2,Clear
7/29/2019,59,82.1,Partially cloudy
7/30/2019,59,75.8,Clear
7/31/2019,62.1,82.1,Partially cloudy
8/1/2019,64.1,84.8,"Rain, Partially cloudy"
8/2/2019,62.1,77,Partially cloudy
8/3/2019,61.1,79.1,Clear
8/4/2019,64.1,83,Clear
8/5/2019,60.2,84.8,Clear
8/6/2019,59,81,Partially cloudy
8/7/2019,60.2,78.2,Partially cloudy
8/8/2019,63,70.1,Overcast
8/9/2019,60.2,74.9,"Rain, Overcast"
8/10/2019,61.1,74,Overcast
8/11/2019,61.1,72,Partially cloudy
8/12/2019,62.1,78.2,Clear
8/13/2019,64.1,83,Partially cloudy
8/14/2019,62.1,83,Partially cloudy
8/15/2019,61.1,80.1,Partially cloudy
8/16/2019,61.1,69.6,Overcast
8/17/2019,60.2,74,Partially cloudy
8/18/2019,62.1,75.8,Partially cloudy
8/19/2019,57.8,74.9,Partially cloudy
8/20/2019,61.1,81,"Rain, Partially cloudy"
8/21/2019,57.8,69.2,"Rain, Overcast"
8/22/2019,56,72,Partially cloudy
8/23/2019,60.2,73.1,Overcast
8/24/2019,62.1,77,Partially cloudy
8/25/2019,57.8,74,Partially cloudy
8/26/2019,62.1,77,Clear
8/27/2019,62.1,81,Clear
8/28/2019,61.1,87.2,Clear
8/29/2019,64.1,79.1,"Rain, Partially cloudy"
8/30/2019,64.1,78.2,Overcast
8/31/2019,65,77,"Rain, Overcast"
9/1/2019,61.1,80.1,Partially cloudy
9/2/2019,60.2,77,Clear
9/3/2019,61.1,81,Partially cloudy
9/4/2019,60.2,74.9,Partially cloudy
9/5/2019,62.1,77,Partially cloudy
9/6/2019,63,78.2,Partially cloudy
9/7/2019,60.2,68,"Rain, Overcast"
9/8/2019,61.1,72,"Rain, Overcast"
9/9/2019,60.2,67,"Rain, Overcast"
9/10/2019,56.9,71.1,Partially cloudy
9/11/2019,59,73.1,Partially cloudy
9/12/2019,62.1,78.2,"Rain, Partially cloudy"
9/13/2019,62.1,71.1,Overcast
9/14/2019,59,68,"Rain, Overcast"
9/15/2019,52.1,62.1,"Rain, Partially cloudy"
9/16/2019,54.6,68,Partially cloudy
9/17/2019,56,62.1,"Rain, Overcast"
9/18/2019,53.1,66.8,Partially cloudy
9/19/2019,56.9,70.1,Partially cloudy
9/20/2019,57.8,66.8,Partially cloudy
9/21/2019,60.2,68,Overcast
9/22/2019,56,65,"Rain, Overcast"
9/23/2019,59,62.1,"Rain, Overcast"
9/24/2019,55.1,70.1,Partially cloudy
9/25/2019,59,68,Partially cloudy
9/26/2019,53.1,68,"Rain, Overcast"
9/27/2019,47.9,64.1,Partially cloudy
9/28/2019,47,60.2,"Rain, Overcast"
9/29/2019,41,56,Partially cloudy
9/30/2019,38.9,59,Clear
10/1/2019,42.2,62.1,Clear
10/2/2019,47,64.1,Partially cloudy
10/3/2019,50,62.1,"Rain, Partially cloudy"
10/4/2019,48.8,61.1,Partially cloudy
10/5/2019,44.1,63,Partially cloudy
10/6/2019,47,62.1,Partially cloudy
10/7/2019,47.9,64.1,Overcast
10/8/2019,37.1,52.1,"Rain, Partially cloudy"
10/9/2019,36,52.1,Clear
10/10/2019,39.8,56,Clear
10/11/2019,43.1,62.1,Clear
10/12/2019,47.9,57.8,Overcast
10/13/2019,45.6,59,Partially cloudy
10/14/2019,46.1,61.1,Partially cloudy
10/15/2019,47.9,60.2,"Rain, Overcast"
10/16/2019,50,59,"Rain, Partially cloudy"
10/17/2019,48.8,57.8,"Rain, Partially cloudy"
10/18/2019,46.1,52.1,"Rain, Partially cloudy"
10/19/2019,45,53.1,"Rain, Partially cloudy"
10/20/2019,47.9,54,"Rain, Overcast"
10/21/2019,53.5,60.2,"Rain, Partially cloudy"
10/22/2019,44.1,56.9,Partially cloudy
10/23/2019,45,56.9,Partially cloudy
10/24/2019,46.1,60.2,Partially cloudy
10/25/2019,43.1,57.8,"Rain, Partially cloudy"
10/26/2019,35.1,55.1,Partially cloudy
10/27/2019,33.2,56,Clear
10/28/2019,35.1,52.1,Clear
10/29/2019,29.9,50,Clear
10/30/2019,33.2,51.2,Clear
10/31/2019,35.1,53.1,Clear
11/1/2019,38,55.1,Clear
11/2/2019,35.1,56,Clear
11/3/2019,41,56,Partially cloudy
11/4/2019,41,56,Partially cloudy
11/5/2019,42.2,56,Partially cloudy
11/6/2019,37.1,55.1,Partially cloudy
11/7/2019,37.1,56,Partially cloudy
11/8/2019,41,60.2,"Rain, Partially cloudy"
11/9/2019,48.8,53.1,Overcast
11/10/2019,46.1,54,Overcast
11/11/2019,47.9,59,"Rain, Overcast"
11/12/2019,47.9,52.1,Overcast
11/13/2019,45,56,Partially cloudy
11/14/2019,47.9,55.6,"Rain, Partially cloudy"
11/15/2019,48.8,57.8,Overcast
11/16/2019,50,53.1,Overcast
11/17/2019,50,57.8,"Rain, Overcast"
11/18/2019,48.8,52.1,"Rain, Overcast"
11/19/2019,39.8,51.2,Partially cloudy
11/20/2019,37.1,50,Partially cloudy
11/21/2019,32,46.1,Partially cloudy
11/22/2019,34.1,45,Partially cloudy
11/23/2019,38,53.1,Overcast
11/24/2019,43.1,52.1,"Rain, Partially cloudy"
11/25/2019,36,46.1,"Rain, Partially cloudy"
11/26/2019,39.8,46.1,Partially cloudy
11/27/2019,29.9,47.9,Partially cloudy
11/28/2019,28.1,46.1,Clear
11/29/2019,24.2,43.1,Clear
11/30/2019,29.9,47,Partially cloudy
12/1/2019,38,45,"Rain, Overcast"
12/2/2019,41,52.1,Partially cloudy
12/3/2019,47.9,55.1,Overcast
12/4/2019,46.1,51.2,Overcast
12/5/2019,45,51.2,Overcast
12/6/2019,46.1,54,"Rain, Overcast"
12/7/2019,47,51.2,Overcast
12/8/2019,45,52.1,Overcast
12/9/2019,39.8,46.1,Overcast
12/10/2019,41,46.1,"Rain, Overcast"
12/11/2019,46.1,51.2,"Rain, Overcast"
12/12/2019,44.1,51.2,"Rain, Partially cloudy"
12/13/2019,43.1,50,"Rain, Partially cloudy"
12/14/2019,37.1,44.1,"Rain, Partially cloudy"
12/15/2019,35.1,43.1,"Rain, Partially cloudy"
12/16/2019,35.1,47,Partially cloudy
12/17/2019,38,47.9,Partially cloudy
12/18/2019,39.8,47,"Rain, Overcast"
12/19/2019,44.1,54,"Rain, Overcast"
12/20/2019,45,53.1,"Rain, Overcast"
12/21/2019,39.8,45,"Rain, Partially cloudy"
12/22/2019,42.2,45,"Rain, Overcast"
12/23/2019,33.2,45,"Rain, Partially cloudy"
12/24/2019,34.1,39.8,Overcast
12/25/2019,28.1,44.1,Partially cloudy
12/26/2019,33.2,39.8,Overcast
12/27/2019,41,44.1,Overcast
12/28/2019,41,47.9,Overcast
12/29/2019,43.1,52.1,"Rain, Overcast"
12/30/2019,45,48.8,Overcast
12/31/2019,48.8,55.1,"Rain, Overcast"
